"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Macrochelys temminckii","Alligator Snapping Turtle","Species","Fuzzy Match","Macrochelys temmincki,Macrochelys temminckii,Macroclemys temmincki","Alabama,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas","Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",14,12,2
"Maianthemum canadense","False Lily-of-the-valley","Species","Followed Accepted TSN","Maianthemum canadense var. interius","Nebraska","Nebraska",1,1,0
"Malus ioensis","Prairie Crabapple","Species","Exact Match","Malus ioensis,Malus ioensis var. ioensis","Nebraska","Nebraska",1,1,0
"Margariscus margarita","Pearl Dace","Species","Exact Match","Margariscus margarita","Iowa,Maryland,Montana,Nebraska,North Dakota,South Dakota,Virginia,West Virginia,Wyoming","District of Columbia,Iowa,Maine,Maryland,Montana,Nebraska,North Dakota,Pennsylvania,Virginia,West Virginia,Wyoming",9,11,-2
"Margariscus nachtriebi","Northern Pearl Dace","Species","Exact Match","Margariscus nachtriebi","","South Dakota,Vermont",0,2,-2
"Margaritifera falcata","Western Pearlshell Mussel","Species","Fuzzy Match","Margaritifera falcata,Margaritifera falcate","Alaska,California,Idaho,Montana,Utah,Washington,Wyoming","Alaska,California,Idaho,Montana,Utah,Washington,Wyoming",7,7,0
"Martes americana","American Marten","Species","Exact Match","Martes americana,Martes Americana","California,Maryland,Michigan,Nevada,New Hampshire,New York,Ohio,Oregon,Utah,Vermont,Washington,Wisconsin,Wyoming","Colorado,Nevada,New Hampshire,New Mexico,North Dakota,Oregon,Vermont,Wisconsin,Wyoming",13,9,4
"Martes pennanti","Fisher","Species","Exact Match","Martes pennanti","Idaho,Montana,North Carolina,Ohio,Oregon,Tennessee,Virginia,Wyoming","New Jersey,Tennessee,Wyoming",8,3,5
"Matteuccia struthiopteris var. pensylvanica","Ostrich Fern","Variety","Exact Match","Matteuccia struthiopteris var. pensylvanica","Missouri","Nebraska",1,1,0
"Megalonaias nervosa","Washboard","Species","Exact Match","Megalonaias nervosa","Florida,Kansas,Minnesota,Ohio,Oklahoma,West Virginia","Florida,Iowa,Kansas,Minnesota,Ohio,Oklahoma,West Virginia,Wisconsin",6,8,-2
"Megathymus streckeri","Strecker''s Giant Skipper","Species","Exact Match","Megathymus streckeri","","Louisiana,Nebraska",0,2,-2
"Megathymus yuccae coloradensis","Colorado Giant Skipper","Subspecies","Exact Match","Megathymus yuccae coloradensis","Nebraska","Nebraska",1,1,0
"Melanerpes erythrocephalus","Red-headed Woodpecker","Species","Exact Match","Melanerpes erythrocephalus","Arkansas,Connecticut,Delaware,Florida,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Montana,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",24,27,-3
"Melanerpes lewis","Lewis''s Woodpecker","Species","Exact Match","Melanerpes lewis","Arizona,California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,Oklahoma,Oregon,South Dakota,Utah,Washington,Wyoming","Arizona,Colorado,Idaho,Montana,Nebraska,Nevada,New Mexico,Oregon,South Dakota,Utah,Washington,Wyoming",15,12,3
"Melanoplus beameri","A Spur-throat Grasshopper","Species","Exact Match","Melanoplus beameri","Kansas","Kansas",1,1,0
"Melanoplus punctulatus","Grizzly Spur-throat Grasshopper","Species","Exact Match","Melanoplus punctulatus","","Nebraska,Wisconsin",0,2,-2
"Melica nitens","Tall Melic","Species","Exact Match","Melica nitens","Nebraska","Nebraska,West Virginia",1,2,-1
"Melospiza georgiana","Swamp Sparrow","Species","Exact Match","Melospiza georgiana","Minnesota,Nebraska,Ohio","Nebraska",3,1,2
"Mentzelia albicaulis","White-stem Blazing-star","Species","Exact Match","Mentzelia albicaulis","","Nebraska",0,1,-1
"Mentzelia chrysantha","Golden blazing star","Species","Followed Accepted TSN","Nuttallia chrysantha","","Colorado",0,1,-1
"Mentzelia densa","Arkansas Canyon stickleaf","Species","Followed Accepted TSN","Nuttallia densa","","Colorado",0,1,-1
"Mentzelia oligosperma","Stickleaf","Species","Exact Match","Mentzelia oligosperma","Nebraska","Nebraska",1,1,0
"Mertensia humilis","Rocky Mountain bluebells","Species","Exact Match","Mertensia humilis","","Colorado",0,1,-1
"Mertensia lanceolata var. lanceolata","Prairie Bluebells","Variety","Exact Match","Mertensia lanceolata var. lanceolata","","Nebraska",0,1,-1
"Mesocapnia frisoni","Plains snowfly","Species","Exact Match","Mesocapnia frisoni","Colorado","Colorado",1,1,0
"Microtus pinetorum","Woodland Vole","Species","Exact Match","Microtus pinetorum,Microtus pinetorum ssp.","Connecticut,Illinois,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin","Connecticut,Florida,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin",9,9,0
"Microtus richardsoni","Water Vole","Species","Exact Match","Microtus richardsoni","Wyoming","Wyoming",1,1,0
"Mimulus alatus","Sharpwing Monkey-Flower","Species","Exact Match","Mimulus alatus","Nebraska","Massachusetts,Nebraska",1,2,-1
"Mimulus gemmiparus","Budding monkey flower","Species","Exact Match","Mimulus gemmiparus","","Colorado",0,1,-1
"Mimulus guttatus","Seep Monkey-Flower","Species","Exact Match","Mimulus guttatus","Nebraska","Nebraska",1,1,0
"Minuartia michauxii","Michaux's Sandwort","Species","Exact Match","Minuartia michauxii,Minuartia michauxii var. texana","Nebraska","Massachusetts,Missouri,Nebraska",1,3,-2
"Minytrema melanops","Spotted Sucker","Species","Exact Match","Minytrema melanops","Iowa,Kansas,Michigan,Pennsylvania","Iowa,Kansas,Pennsylvania",4,3,1
"Mirabilis glabra","Smooth Four-o''clock","Species","Exact Match","Mirabilis exaltata,Mirabilis glabra","Nebraska","Nebraska",1,1,0
"Mirabilis rotundifolia","Round-leaf four o’clock","Species","Followed Accepted TSN","Oxybaphus rotundifolius","","Colorado",0,1,-1
"Mniotilta varia","Black-and-white Warbler","Species","Exact Match","Mniotilta varia","Connecticut,Delaware,Indiana,Iowa,Maine,Maryland,Nebraska,New Jersey,Ohio,Puerto Rico,Rhode Island,Virginia,Virgin Islands","Connecticut,Delaware,Indiana,Maine,Maryland,Massachusetts,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia",13,13,0
"Monotropa uniflora","Indian-pipe","Species","Exact Match","Monotropa uniflora","Nebraska","Nebraska",1,1,0
"Moxostoma carinatum","River Redhorse","Species","Exact Match","Moxostoma carinatum","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Minnesota,Mississippi,New York,Ohio,Virginia,West Virginia,Wisconsin","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Mississippi,Missouri,New York,North Carolina,Ohio,Virginia,West Virginia,Wisconsin",14,15,-1
"Moxostoma duquesnii","Black Redhorse","Species","Followed Accepted TSN","Moxostoma duquesnei","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Wisconsin","Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Ohio,Wisconsin",8,8,0
"Moxostoma erythrurum","Golden Redhorse","Species","Exact Match","Moxostoma erythrurum","Kansas,Michigan,Mississippi","Kansas,Mississippi",3,2,1
"Moxostoma macrolepidotum","Shorthead Redhorse","Species","Exact Match","Moxostoma macrolepidotum","Arkansas,Delaware,Kansas,Mississippi,North Carolina,Oklahoma,Vermont,Wyoming","Delaware,Kansas,Mississippi,Oklahoma,Vermont,West Virginia",8,6,2
"Moxostoma pisolabrum","Pealip Redhorse","Species","Exact Match","Moxostoma pisolabrum","","Arkansas,Kansas",0,2,-2
"Muhlenbergia filiformis","Pull-Up Muhly","Species","Exact Match","Muhlenbergia filiformis","Nebraska","Nebraska",1,1,0
"Muhlenbergia glomerata","Spiked Muhly","Species","Exact Match","Muhlenbergia glomerata","Nebraska","Nebraska",1,1,0
"Muhlenbergia minutissima","Least Muhly","Species","Exact Match","Muhlenbergia minutissima","","Nebraska",0,1,-1
"Muhlenbergia richardsonis","Mat Muhly","Species","Exact Match","Muhlenbergia richardsonis","Nebraska","Nebraska",1,1,0
"Muhlenbergia sylvatica","Woodland Muhly","Species","Exact Match","Muhlenbergia sylvatica","","Nebraska,Vermont",0,2,-2
"Muhlenbergia tenuiflora","Slim-flower Muhly","Species","Exact Match","Muhlenbergia tenuiflora","Nebraska","Nebraska",1,1,0
"Mustela frenata","Long-tailed Weasel","Species","Exact Match","Mustela frenata","Alabama,Arkansas,Connecticut,Louisiana,Mississippi,Missouri,Nebraska,North Carolina,Ohio,Oklahoma,Texas,Vermont","Alabama,Arizona,Arkansas,Connecticut,Delaware,Iowa,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,Texas,Vermont",12,13,-1
"Mustela nigripes","Black-footed Ferret","Species","Exact Match","Mustela nigripes","Arizona,Colorado,Kansas,Montana,North Dakota,South Dakota,Texas,Utah,Wyoming","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,South Dakota,Texas,Utah,Wyoming",9,10,-1
"Mustela nivalis","Least Weasel","Species","Exact Match","Mustela nivalis","Georgia,Illinois,Indiana,Maryland,Michigan,Minnesota,Missouri,New York,North Carolina,Ohio,Tennessee,Virginia,Wyoming","Georgia,Indiana,Iowa,Maryland,Minnesota,Missouri,Tennessee,Wyoming",13,8,5
"Myadestes townsendi","Townsend's Solitaire","Species","Exact Match","Myadestes townsendi","Alaska,Nebraska","Nebraska",2,1,1
"Myiarchus cinerascens","Ash-throated Flycatcher","Species","Exact Match","Myiarchus cinerascens","Wyoming","Wyoming",1,1,0
"Myodes gapperi","southern red-backed vole, Revillagigedo Island","Species","Followed Accepted TSN","Clethrionomys gapperi,Clethrionomys gapperi maurus,Clethrionomys gapperi solus,Clethrionomys gapperi stikinensis,Myodes gapperi","Alaska,Connecticut,Iowa,Kentucky,Michigan,Ohio,South Carolina","Arizona,Colorado,Connecticut,Kentucky,Ohio",7,5,2
"Myosotis laxa","smaller forget-me-not","Species","Exact Match","Myosotis laxa","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Myosotis verna","Spring Forget-me-not","Species","Exact Match","Myosotis verna","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Myotis ciliolabrum","Western Small-footed Myotis","Species","Exact Match","Myotis ciliolabrum","California,Kansas,Nevada,North Dakota,Wyoming","Idaho,Kansas,Nevada,North Dakota,Texas,Wyoming",5,6,-1
"Myotis evotis","Long-eared Myotis","Species","Exact Match","Myotis evotis","California,Nevada,North Dakota,Wyoming","Arizona,California,Nevada,North Dakota,Wyoming",4,5,-1
"Myotis grisescens","Gray Bat","Species","Exact Match","Myotis grisescens","Alabama,Arkansas,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Mississippi,Missouri,North Carolina,Oklahoma,Tennessee,Virginia","Alabama,Arkansas,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Mississippi,Missouri,North Carolina,Oklahoma,Tennessee,Virginia",14,14,0
"Myotis lucifugus","Little Brown Bat","Species","Exact Match","Myotis lucifigus,Myotis lucifrugus,Myotis lucifugus","Alabama,Alaska,California,Connecticut,Indiana,Kansas,Mississippi,Nevada,Ohio,Rhode Island,Vermont,Wyoming","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",12,37,-25
"Myotis septentrionalis","Northern Long-eared Bat","Species","Exact Match","Myotis septentrionalis","Alabama,Connecticut,Delaware,Indiana,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Wisconsin,Wyoming","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",21,36,-15
"Myotis thysanodes","Fringe-Tailed Myotis","Species","Exact Match","Myotis thysanode,Myotis thysanodes,Myotis thysanodes 11,Myotis thysanodes 12,Mytois thysanodes","California,Colorado,Idaho,Montana,Nebraska,Nevada,Oregon,Texas,Utah,Wyoming","California,Colorado,Nevada,Oregon,Texas,Utah,Wyoming",10,7,3
"Myotis thysanodes pahasapensis","fringe-tailed myotis","Subspecies","Exact Match","Myotis thysanodes pahasapensis","South Dakota","Nebraska,South Dakota",1,2,-1
"Myotis volans","Long-legged Myotis","Species","Exact Match","Myotis volans,Myotis Volans,Myotis volans (longicrus)","Alaska,California,Nebraska,North Dakota,Oregon,Wyoming","Alaska,California,Nebraska,North Dakota,Oregon,Texas,Wyoming",6,7,-1
"Myriophyllum pinnatum","Cutleaf Water-milfoil","Species","Exact Match","Myriophyllum pinnatum","","Massachusetts,Nebraska,Tennessee,West Virginia",0,4,-4
"Myriophyllum verticillatum","Whorled Water-milfoil","Species","Exact Match","Myriophyllum verticillatum","Nebraska,Vermont","Massachusetts,Nebraska",2,2,0
"Najas marina","Prickly Naiad","Species","Exact Match","Najas marina","Nebraska","Nebraska",1,1,0
"Navarretia saximontana","Rocky Mountain Navarretia","Species","Exact Match","Navarretia saximontana","","Nebraska",0,1,-1
"Necturus maculosus","Mudpuppy","Species","Exact Match","Necturus maculosus","Georgia,Illinois,Indiana,Iowa,Kansas,Maryland,Minnesota,New York,North Carolina,Vermont,Virginia,Wisconsin","Connecticut,Illinois,Indiana,Iowa,Kansas,Maryland,Minnesota,New York,Pennsylvania,Tennessee,Vermont,West Virginia",12,12,0
"Nelumbo lutea","American Lotus","Species","Exact Match","Nelumbo lutea","Nebraska","Nebraska",1,1,0
"Nemomydas solitarius","no common name","Species","Exact Match","Nemomydas solitarius","","Colorado",0,1,-1
"Neochoroterpes oklahoma","Pronggill Mayfly","Species","Exact Match","Neochoroterpes oklahoma","","Colorado",0,1,-1
"Neominois ridingsii","Riding's Satyr","Species","Exact Match","Neominois ridingsii","","Nebraska",0,1,-1
"Neotoma cinerea","Bushy-tailed Woodrat","Species","Exact Match","Neotoma cinerea","Arizona,Nebraska","Nebraska",2,1,1
"Neotoma floridana","Eastern Woodrat","Species","Followed Accepted TSN","Neotoma floridana,Neotoma floridana floridana,Neotoma floridana haematoreia,Neotoma floridana illinoensis,Neotoma floridana smalli","Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee","Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee",6,6,0
"Neotoma floridana baileyi","Bailey''s Eastern Woodrat","Unknown Taxonomic Rank","Legacy Match","Neotoma floridana baileyi","Nebraska","Nebraska",1,1,0
"Nicrophorus americanus","American Burying Beetle","Species","Exact Match","Nicrophorus americanus","Arkansas,Connecticut,Delaware,Illinois,Kansas,Maine,Maryland,Massachusetts,Michigan,Missouri,Nebraska,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,Illinois,Kansas,Massachusetts,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia",21,19,2
"Nocomis asper","Redspot Chub","Species","Exact Match","Nocomis asper","Arkansas,Kansas,Oklahoma","Arkansas,Kansas,Oklahoma",3,3,0
"Nocomis biguttatus","Hornyhead Chub","Species","Exact Match","Nocomis biguttatus","Kansas,North Dakota,Pennsylvania,South Dakota,Wyoming","Kansas,Minnesota,North Dakota,Pennsylvania,South Dakota,Wyoming",5,6,-1
"Nomotettix parvus","Low-ridged Pygmy Grasshopper","Species","Exact Match","Nomotettix parvus","Illinois,Kansas","Illinois,Kansas",2,2,0
"Notamblyscirtes simius","Orange Roadside Skipper","Species","Followed Accepted TSN","Amblyscirtes simius","","Nebraska",0,1,-1
"Nothoscordum bivalve","False-garlic","Species","Exact Match","Nothoscordum bivalve","Nebraska","Nebraska",1,1,0
"Notophthalmus viridescens","Eastern Newt","Species","Exact Match","Notophtalmus viridescens,Notophthalmus viridescens,Notopthalmus viridescens","Connecticut,District of Columbia,Iowa,Kansas,Rhode Island","Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Minnesota",5,7,-2
"Notropis anogenus","Pugnose Shiner","Species","Exact Match","Notropis anogenus","Illinois,Indiana,Iowa,Michigan,Minnesota,New York,North Dakota,Ohio,Wisconsin","Illinois,Indiana,Iowa,Michigan,Minnesota,North Dakota,Wisconsin",9,7,2
"Notropis blennius","River Shiner","Species","Exact Match","Notropis blennius","Kansas,Pennsylvania,West Virginia","Iowa,Kansas,Pennsylvania,West Virginia",3,4,-1
"Notropis boops","Bigeye Shiner","Species","Exact Match","Notropis boops","Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia","Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia",6,6,0
"Notropis girardi","Arkansas River Shiner","Species","Exact Match","Notropis girardi","Arkansas,Kansas,Oklahoma,Texas","Arkansas,Kansas,New Mexico,Oklahoma,Texas",4,5,-1
"Notropis heterolepis","Blacknose Shiner","Species","Exact Match","Notropis heterolepis,Notropis heterolepis 1,Notropis heterolepis 2","Illinois,Iowa,Missouri,Nebraska,North Dakota,Ohio,South Dakota,Vermont","Illinois,Iowa,Maine,Missouri,Nebraska,New York,North Dakota,Ohio,South Dakota,Vermont",8,10,-2
"Notropis nubilus","Ozark Minnow","Species","Exact Match","Notropis nubilus","Illinois,Iowa,Kansas,Minnesota,Oklahoma,Wisconsin","Iowa,Kansas,Minnesota,Wisconsin",6,4,2
"Notropis percobromus","Carmine shiner","Species","Exact Match","Notropis percobromus","","Iowa,North Dakota,South Dakota",0,3,-3
"Notropis shumardi","Silverband Shiner","Species","Exact Match","Notropis shumardi","Illinois,Kansas,Texas","Illinois,Iowa,Kansas,Missouri,Oklahoma,Texas",3,6,-3
"Notropis topeka","Topeka Shiner","Species","Exact Match","Notropis topeka","Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota","Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota",6,6,0
"Noturus exilis","Slender Madtom","Species","Exact Match","Noturus exilis","Illinois,Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin","Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin",7,6,1
"Noturus flavus","Stonecat","Species","Exact Match","Noturus flavus","Colorado,Kansas,Maryland,Michigan,Mississippi,North Carolina,Vermont,Virginia,Wyoming","Alabama,Arkansas,Colorado,Kansas,Maryland,Mississippi,North Carolina,Vermont,Virginia",9,9,0
"Noturus gyrinus","Tadpole Madtom","Species","Exact Match","Noturus gyrinus","Iowa,Kansas,Michigan,Nebraska,Pennsylvania","Iowa,Kansas,Nebraska,New Jersey,Pennsylvania,Virginia",5,6,-1
"Noturus miurus","Brindled Madtom","Species","Exact Match","Noturus miurus","Alabama,Kansas,Michigan,Pennsylvania","Alabama,Kansas,Michigan,Pennsylvania",4,4,0
"Noturus nocturnus","Freckled madtom","Species","Exact Match","Noturus nocturnus","Iowa,Kansas","Iowa,Kansas",2,2,0
"Noturus placidus","Neosho Madtom","Species","Exact Match","Noturus placidus","Kansas,Missouri,Oklahoma","Kansas,Missouri,Oklahoma",3,3,0
"Nucifraga columbiana","Clark''s Nutcracker","Species","Exact Match","Nucifraga columbiana","Arizona,Montana,Nebraska","Idaho,Nebraska,New Mexico",3,3,0
"Numenius americanus","Long-billed Curlew","Species","Exact Match","Numenius americanus","California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Carolina,South Dakota,Texas,Utah,Wyoming","Colorado,Florida,Idaho,Iowa,Kansas,Louisiana,Nebraska,Nevada,New Mexico,North Dakota,Oklahoma,Oregon,South Carolina,South Dakota,Texas,Wyoming",16,16,0
